"idx","num_of_columns","a_columns","wlp","is_comp","b_columns","s22_max","subgroup_idx","subgroup_size"
420,11,"1 2 5 14 22 9 24 31 34 4 8","6 36 102 162",FALSE,"19 33 16 11 7 3 12 13 6 17 19",51,31,402
433,11,"1 2 5 14 22 9 24 31 3 13 11","6 39 102 144",FALSE,"23 15 28 7 12 16 12 6 25 18 4",51,44,402
823,12,"1 2 5 14 22 9 24 31 34 39 3 4","8 54 174 330",FALSE,"18 10 28 11 6 16 7 6 8 8 25 19",58,32,807
830,12,"1 2 5 14 22 9 24 31 34 3 11 27","8 55 169 337",FALSE,"19 10 30 6 4 15 7 6 8 16 21 4",58,39,807
833,12,"1 2 5 14 22 9 24 31 3 25 26 29","8 56 164 344",FALSE,"27 10 30 7 6 18 6 7 20 8 11 4",58,42,807
1626,13,"1 2 5 14 22 9 24 31 3 25 13 37 8","10 84 270 606",FALSE,"23 15 18 6 6 26 12 12 26 7 15 7 4",66,28,1505
3159,14,"1 2 5 14 22 9 24 31 34 39 3 6 23 21","14 112 415 1116",FALSE,"7 10 28 11 7 16 12 11 4 8 16 27 4 10",75,50,2633
6237,15,"1 2 5 14 22 9 24 31 3 25 13 37 15 36 4","21 142 610 1940",FALSE,"18 19 18 6 12 16 7 6 26 7 17 12 8 11 8",85,434,4174
15056,16,"1 2 5 14 22 9 24 31 15 40 23 30 20 21 28 36","32 168 864 3296",FALSE,"27 25 3 11 4 3 13 7 6 10 6 8 11 12 4 13",96,4525,5897
17635,17,"1 2 5 14 22 9 24 31 34 39 3 6 23 15 21 18 29","33 242 1254 4846",FALSE,"25 10 28 13 12 26 4 11 11 8 20 27 8 4 10 7 7",103,624,6952
26143,18,"1 2 5 14 22 9 24 31 3 25 13 37 15 23 26 8 17 21","39 315 1731 7251",FALSE,"27 33 29 6 12 18 6 7 16 7 18 12 12 10 10 4 11 4",111,202,6553
42090,19,"1 2 5 14 22 9 24 31 3 25 13 17 20 32 27 8 19 4 30","51 389 2304 10737",FALSE,"23 37 29 7 6 26 12 11 16 12 15 10 7 6 10 16 10 6 11",120,1668,4590
42304,19,"1 2 5 14 22 9 24 31 3 25 13 17 20 32 6 27 34 19 11","51 391 2295 10734",FALSE,"18 33 30 12 4 26 12 7 16 8 15 10 8 7 4 8 10 4 15",120,1798,4590
54859,20,"1 2 5 14 22 9 24 31 3 25 13 37 15 36 20 26 4 10 23 29","60 480 3084 15420",FALSE,"27 19 30 7 12 18 6 7 16 6 17 12 8 11 11 8 6 18 8 11",130,1879,4536
54862,20,"4 10 11 12 13 18 23 25 26 27 28 29 30 32 33 35 36 37 38 40","60 480 3084 15420",TRUE,"20 1 16 3 1 2 2 9 6 7 6 2 3 5 7 9 3 9 8 1",130,1886,4536
54859,20,"6 7 8 11 12 16 17 18 19 21 27 28 30 32 33 34 35 38 39 40","60 480 3084 15420",TRUE,"1 3 20 15 2 2 5 4 1 3 2 1 13 13 9 3 4 4 9 5",130,1880,4536
47830,21,"4 6 11 12 16 18 19 20 21 25 26 28 29 30 32 33 35 36 37 38 40","55 386 2253 10804",TRUE,"5 2 2 2 13 5 9 2 7 10 5 1 3 3 8 7 1 3 10 1 8",135,752,778
27594,22,"6 8 10 11 13 17 19 20 23 26 27 28 29 30 31 32 33 34 35 37 39 40","41 310 1714 7314",TRUE,"16 3 3 1 4 2 2 5 9 1 7 3 2 9 4 7 12 3 4 4 9 1",138,27,203
27528,22,"6 7 8 12 13 16 17 18 21 23 26 27 28 29 32 33 34 35 37 38 39 40","41 309 1719 7313",TRUE,"1 2 4 1 20 4 3 11 9 2 1 9 2 3 5 10 3 4 1 11 3 5",138,25,203
18335,23,"4 7 10 12 13 15 16 17 18 21 23 26 27 28 29 32 33 34 35 37 38 39 40","34 239 1250 4872",TRUE,"1 2 1 1 20 5 6 3 11 9 2 1 9 2 8 5 6 3 8 1 8 3 5",139,3,44
15060,24,"3 6 7 8 10 12 13 16 17 18 19 20 23 27 28 30 32 33 34 35 36 37 39 40","32 174 855 3242",TRUE,"1 21 2 24 22 1 4 2 5 4 2 5 11 2 1 9 11 9 5 4 1 4 9 1",147,9,9
8874,25,"3 4 6 7 11 12 13 16 17 19 20 21 23 25 26 28 30 32 33 34 35 36 37 38 39","26 126 594 2060",TRUE,"15 14 1 15 18 24 14 2 2 9 5 1 5 10 2 1 1 9 9 8 8 5 10 8 10",138,3,3
